,,,,,Obstacles#Wall,,Obstacles#Wall,Entrances;Stairs Bay concourse down to GO *trains,Entrances;Stairs Bay concourse down to GO trains,Movement;Escalator Down Bay concourse to GO trains,Obstacles#Wall,,,,Entrances;VIA map area entrance,Entrances;VIA map area entrance,Entrances;Stairs VIA concourse down to trains,Entrances;Stairs VIA concourse down to trains,Entrances;Stairs VIA concourse down to trains,Entrances;VIA info area entrance,Information;VIA information area,,,,,,,,,,Obstacles#Wall,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Obstacles#Wall,Obstacles#Wall,
,,,,,Obstacles#Wall,Movement;Elevator South 1,Obstacles#Wall,Entrances;Stairs Bay concourse down to GO trains,Entrances;Stairs Bay concourse down to GO trains,Movement;Escalator Down Bay concourse to GO trains,Obstacles#Wall,,,,Entrances;VIA map area entrance,Entrances;VIA map area entrance,Entrances;Stairs VIA concourse down to trains,Entrances;Stairs VIA concourse down to trains,Entrances;Stairs VIA concourse down to trains,Entrances;VIA info area entrance,Information;VIA information area,,,,,,,,,,Obstacles#Wall,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Obstacles#Wall,Obstacles#Wall,
,,,,,Obstacles#Wall,Movement;Elevator South 2,Obstacles#Wall,Entrances;Stairs Bay concourse down to GO trains,Entrances;Stairs Bay concourse down to GO trains,Movement;Escalator Down Bay concourse to GO trains,Obstacles#Wall,Sales;Ticket counter GO VIA,Sales;Ticket counter GO VIA,Sales;Ticket counter GO VIA,Sales;Ticket counter GO VIA,Obstacles#Wall,Obstacles#Pillar,,Obstacles#Pillar,Obstacles#Wall,Sales;VIA Ticket counter,Sales;VIA Ticket counter,Sales;VIA Ticket counter,Sales;VIA Ticket counter,Sales;VIA Ticket counter,Sales;VIA Ticket counter,Sales;VIA Ticket counter,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Entrances;Stairs York concourse down to GO trains,Obstacles#Wall,Movement;Elevator West 1,Movement;Elevator West 2
Obstacles#Wall,Obstacles#Wall,Movement;Elevator East 1,Movement;Elevator East 2,Movement;Side door and stairs down to GO trains,Obstacles#Wall,Movement;Door to south elevators,Obstacles#Wall,,,,,,,,,,,,,,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,,,,,,,,,,Obstacles#Wall,,
,,,,Obstacles#Wall,Obstacles#Wall,,,,,,,,,,,,Information;Tall info sign,,Information;Tall info sign,,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,Obstacles#Belt queue,,,,,,,,,,Obstacles#Wall,,
,,,,,Entrances;East Mall Entrance 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrances;West Entrance Convention Centre 1,,
,,,,,Entrances;East Mall Entrance 1,,,,,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,,,,,,,,,,,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,,,,Entrances;West Entrance Convention Centre 2,,
,,,,,Obstacles#Wall,,,,,,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Obstacles#Bench,,,,,Information;Information Kiosk,,,,,,,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Obstacles#Bench,,,,Obstacles#Wall,,
,,,,,Entrances;East Mall Entrance 2,,,,,,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,,,,,Information;Information Kiosk,Information;Information Kiosk,Information;Information Kiosk,,,,,,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,,,,,Entrances;Stairs York Street down,,
,,,,,Entrances;East Mall Entrance 2,,,,,,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Entrances;Entrance East stairs subway,Obstacles#Bench,,,,,Information;Information Kiosk,,,,,,,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Entrances;Entrance West stairs subway,Obstacles#Bench,,,,Entrances;Stairs York Street down,,
,,,,,Obstacles#Wall,,,,,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,,,,,,,,,,,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,,,,Obstacles#Wall,,
,,,,,Entrances;East Mall Entrance 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrances;West Entrance Convention Centre 3,,
,,,,,Entrances;East Mall Entrance 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entrances;West Entrance Convention Centre 4,,
Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,,,,,,,,,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,Obstacles#Bench,,,,,,,,,,Obstacles#Wall,,
,,,,,Obstacles#Wall,,,,,,,,,Obstacles#Wall,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,Obstacles#Construction,,,,,,,,,,Obstacles#Wall,,
,,,,,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,,,,,,,,,,,,,Obstacles#Wall,Obstacles#Bench,Obstacles#Bench,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Obstacles#Wall,Obstacles#Wall,,
,,,,,,,,,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street*street,Entrances;East Entrance Front Street,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,,,,,,,,,,,,,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,,,,
,,,,,,,,,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street,Entrances;East Entrance Front Street,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Obstacles#Wall,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,Entrances;West Entrance Front Street,,,,
,,,,,,,,,,,,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,,,,,,,
,,,,,,,,,,,,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,,,,,,,
,,,,,,,,,,,,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,Movement;Ramp,,,,,,,
